_id,incident_id,occurred_date,title,summary,deployer,developer,harmed_parties,reports,year,text,application_type,incident_type,customer_segment,severity_level,regulatory_investigation,fine_imposed,policy_change,third_party_audit
ObjectId(6342746c7349da35faffd3ee),348,2020-11-01,YouTube Recommendation Reportedly Pushed Election Fraud Content to Skeptics Disproportionately,YouTube's recommendation algorithm allegedly pushed 2020's US Presidential Election fraud content to users most skeptical of the election's legitimacy disproportionately compared to least skeptical users.,"[""youtube""]","[""youtube""]","[""youtube-users-skeptical-of-us-election-results""]","[2064,2075,2096]",2020,youtube recommendation reportedly pushed election fraud content to skeptics disproportionately youtube's recommendation algorithm allegedly pushed 2020's us presidential election fraud content to users most skeptical of the election's legitimacy disproportionately compared to least skeptical users.,fraud_detection,other,general,low,0,0,0,0
ObjectId(630ca22388619542799c19ec),316,2016-06-02,Facebook Ad-Approval Algorithm Allegedly Missed Fraudulent Ads via Simple URL Checks,"Facebook’s advertisement-approval algorithm was reported by a security analyst to have neglected simple checks for domain URLs, leaving its users at risk of fraudulent ads.","[""facebook""]","[""facebook""]","[""facebook-users""]",[1971],2016,"facebook ad-approval algorithm allegedly missed fraudulent ads via simple url checks facebook’s advertisement-approval algorithm was reported by a security analyst to have neglected simple checks for domain urls, leaving its users at risk of fraudulent ads.",fraud_detection,other,general,low,1,0,0,0
ObjectId(633c45fd399f7471b597a758),345,2021-04-13,Auto-Insurance Photo-Based Estimation Allegedly Gave Inaccurate Repair Prices Frequently,"Auto-insurance companies' photo-based estimation of repair price was alleged by repair shop owners and industry groups as providing inaccurate estimates, causing damaged cars to stay in the shop longer.","[""insurance-companies""]","[""ccc-information-services"",""tractable""]","[""vehicle-repair-shops"",""vehicle-owners""]",[2058],2021,"auto-insurance photo-based estimation allegedly gave inaccurate repair prices frequently auto-insurance companies' photo-based estimation of repair price was alleged by repair shop owners and industry groups as providing inaccurate estimates, causing damaged cars to stay in the shop longer.",risk_assessment,other,general,low,0,0,0,0
ObjectId(63429a302acc51f55c0d97ad),355,2018-07-07,Uber Allegedly Wrongfully Accused Drivers of Fraud via Automated Systems,"Uber was alleged in a lawsuit to have wrongfully accused its drivers in the UK and Portugal of fraudulent activity through automated systems, which resulted in their dismissal without a right to appeal.","[""uber""]","[""uber""]","[""uber-drivers""]","[2081,2082,2083,2903]",2018,"uber allegedly wrongfully accused drivers of fraud via automated systems uber was alleged in a lawsuit to have wrongfully accused its drivers in the uk and portugal of fraudulent activity through automated systems, which resulted in their dismissal without a right to appeal.",fraud_detection,other,general,high,0,0,0,0
ObjectId(6347dbceed247984c90d6b27),368,2016-06-01,"Facial Recognition Smart Phone App ""Blue Wolf"" Monitored Palestinians in West Bank","A controversial surveillance program involving facial recognition and algorithmic recommendation, Blue Wolf, was deployed by the Israeli military to monitor Palestinians in the West Bank.","[""the-israel-military""]","[""anyvision""]","[""palestinians-residing-in-the-west-bank""]","[2151,2152,2153,2154,2155,2156,2157,2159,2160,2161]",2016,"facial recognition smart phone app ""blue wolf"" monitored palestinians in west bank a controversial surveillance program involving facial recognition and algorithmic recommendation, blue wolf, was deployed by the israeli military to monitor palestinians in the west bank.",other_finance,other,general,low,0,0,0,0
ObjectId(635780b830a3a8f1ece4a18d),373,2013-10-01,Michigan's Unemployment Benefits Algorithm MiDAS Issued False Fraud Claims to Thousands of People,"State's use of Michigan Integrated Data Automated System (MiDAS) to adjudicate unemployment benefits claims falsely issued fraud determinations based on un-investigated assumptions, resulting in tens of thousands of false fraud cases over years.","[""michigan-unemployment-insurance-agency""]","[""fast-enterprises"",""csg-government-solutions""]","[""unemployed-michigan-residents-falsely-accused-of-fraud"",""unemployed-michigan-residents""]","[2169,2187,2188,2189,2190,2191,2213,2214,2215,2216,2238,2798]",2013,"michigan's unemployment benefits algorithm midas issued false fraud claims to thousands of people state's use of michigan integrated data automated system (midas) to adjudicate unemployment benefits claims falsely issued fraud determinations based on un-investigated assumptions, resulting in tens of thousands of false fraud cases over years.",fraud_detection,data_breach,general,low,0,0,0,0
ObjectId(6381b80fb48fdf02a16754bd),405,2018-11-28,Schufa Credit Scoring in Germany Reported for Unreliable and Imbalanced Scores,"Creditworthiness Schufa scores in Germany reportedly privileged older and female consumers, and people who changed addresses less frequently, and were unreliable depending on scoring version.","[""schufa-holding-ag""]","[""schufa-holding-ag""]","[""young-men-having-credit-scores"",""people-scored-on-old-scoring-versions"",""people-changing-addresses-frequently""]","[2285,2287]",2018,"schufa credit scoring in germany reported for unreliable and imbalanced scores creditworthiness schufa scores in germany reportedly privileged older and female consumers, and people who changed addresses less frequently, and were unreliable depending on scoring version.",credit_scoring,other,retail,low,0,0,0,0
ObjectId(639d76678dccddb2440cb810),422,2022-11-22,Deepfake of FTX's Former CEO Posted on Twitter Aiming to Scam FTX Collapse Victims,A visual and audio deepfake of former FTX CEO Sam Bankman-Fried was posted on Twitter to scam victims of the exchange's collapse by urging people to transfer funds into an anonymous cryptocurrency wallet.,"[""unknown""]","[""unknown""]","[""victims-of-ftx's-collapse"",""twitter-users""]",[2330],2022,deepfake of ftx's former ceo posted on twitter aiming to scam ftx collapse victims a visual and audio deepfake of former ftx ceo sam bankman-fried was posted on twitter to scam victims of the exchange's collapse by urging people to transfer funds into an anonymous cryptocurrency wallet.,other_finance,other,general,low,0,0,0,0
ObjectId(639d8b228dccddb244103c16),425,2021-06-12,State Farm Allegedly Discriminated against Black Customers in Claim Payout,State Farm's automated claims processing method was alleged in a class action lawsuit to have disproportionately against Black policyholders when paying out insurance claims.,"[""state-farm""]","[""state-farm""]","[""black-state-farm-customers""]","[2333,2385]",2021,state farm allegedly discriminated against black customers in claim payout state farm's automated claims processing method was alleged in a class action lawsuit to have disproportionately against black policyholders when paying out insurance claims.,risk_assessment,algorithmic_bias,retail,high,0,0,0,0
ObjectId(63a171f784adbad7e335e126),428,2017-05-19,BBC Reporter's Twin Brother Cracked HSBC's Voice ID Authentication,HSBC’s voice recognition authentication system was fooled after seven repeated attempts  by a BBC reporter's twin brother who mimicked his voice to access his bank account.,"[""hsbc-uk""]","[""nuance-communications""]","[""hsbc-uk-customers"",""dan-simmons""]","[2341,2379,2380]",2017,bbc reporter's twin brother cracked hsbc's voice id authentication hsbc’s voice recognition authentication system was fooled after seven repeated attempts  by a bbc reporter's twin brother who mimicked his voice to access his bank account.,other_finance,other,general,low,0,0,0,0
ObjectId(63a422bbcf609c92b7543612),431,2022-04-20,Robbers Accessed Drugged Gay Men's Bank Accounts Using Their Phones' Facial Recognition,Gay men in New York City were drugged by robbers who accessed their phones using facial recognition while they were unconscious to transfer funds out of their bank accounts.,"[""apple""]","[""apple""]","[""gay-men-in-new-york-city"",""julio-ramirez""]","[2353,2370,2371]",2022,robbers accessed drugged gay men's bank accounts using their phones' facial recognition gay men in new york city were drugged by robbers who accessed their phones using facial recognition while they were unconscious to transfer funds out of their bank accounts.,other_finance,other,general,low,0,0,0,0
ObjectId(6406eb83ce2684de4ddc50ea),485,2023-02-22,UK Bank's Voice ID Successfully Bypassed Using AI-Produced Audio,"A UK journalist was able to successfully bypass Lloyds Bank's ""Voice ID"" program to access his bank account using an AI-generated audio of his own voice.","[""joseph-cox"",""lloyds-bank""]","[""elevenlabs"",""lloyds-bank""]","[""lloyds-bank""]",[2740],2023,"uk bank's voice id successfully bypassed using ai-produced audio a uk journalist was able to successfully bypass lloyds bank's ""voice id"" program to access his bank account using an ai-generated audio of his own voice.",other_finance,other,general,low,0,0,0,0
ObjectId(642275699104428ff0e3af08),501,2019-06-03,Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman,"An elderly Wisconsin woman was algorithmically determined to have a rapid recovery, an output which the insurer based on to cut off payment for her treatment despite medical notes showing her still experiencing debilitating pain.","[""security-health-plan"",""navihealth""]","[""navihealth""]","[""frances-walter"",""elderly-patients""]",[2842],2019,"length of stay false diagnosis cut off insurer's payment for treatment of elderly woman an elderly wisconsin woman was algorithmically determined to have a rapid recovery, an output which the insurer based on to cut off payment for her treatment despite medical notes showing her still experiencing debilitating pain.",other_finance,other,general,low,0,0,0,0
ObjectId(642a9b9c9c6dea4c180c971a),504,2023-02-08,Bing Chat's Outputs Featured in Demo Video Allegedly Contained False Information,Microsoft's demo video of Bing Chat reportedly featured false or made up information such as non-existent pet vacuums features or false figures on financial statements.,"[""microsoft""]","[""openai"",""microsoft""]","[""microsoft""]",[2860],2023,bing chat's outputs featured in demo video allegedly contained false information microsoft's demo video of bing chat reportedly featured false or made up information such as non-existent pet vacuums features or false figures on financial statements.,other_finance,other,general,low,0,0,0,0
ObjectId(642f4346c24ce38f53f08a1b),507,2023-03-15,ChatGPT Erroneously Alleged Mayor Served Prison Time for Bribery ,ChatGPT erroneously alleged regional Australian mayor Brian Hood served time in prison for bribery. Mayor Hood is considering legal action against ChatGPT's makers for alleging a foreign bribery scandal involving a subsidiary of the Reserve Bank of Australia in the early 2000s.,"[""openai""]","[""openai""]","[""brian-hood""]","[2870,2902]",2023,chatgpt erroneously alleged mayor served prison time for bribery  chatgpt erroneously alleged regional australian mayor brian hood served time in prison for bribery. mayor hood is considering legal action against chatgpt's makers for alleging a foreign bribery scandal involving a subsidiary of the reserve bank of australia in the early 2000s.,other_finance,other,general,low,0,0,0,0
ObjectId(643e1ab4d636c9fd9964719b),516,2023-03-20,ChatGPT Reportedly Exposed Users' Private Data Reportedly Due to Bug,"ChatGPT reportedly exposed titles of users' chat histories and users' private payment information to other users reportedly due to a bug, which prompted its temporary shutdown by OpenAI.","[""openai""]","[""openai""]","[""chatgpt-users""]","[2908,2915]",2023,"chatgpt reportedly exposed users' private data reportedly due to bug chatgpt reportedly exposed titles of users' chat histories and users' private payment information to other users reportedly due to a bug, which prompted its temporary shutdown by openai.",other_finance,data_breach,general,low,0,0,0,0
